# z = 825 mm
# z/D = 257.8125 ~ 258
# r (mm)    r/D         OH (arb units)
-6.0324   -1.885125     57.5
-5.8953   -1.84228125   57.5
-5.7582   -1.7994375    57
-5.6211   -1.75659375   57
-5.484    -1.71375      56.5
-5.3469   -1.67090625   56.5
-5.2098   -1.6280625    56.5
-5.0727   -1.58521875   56.5
-4.9356   -1.542375     56.5
-4.7985   -1.49953125   56.5
-4.6614   -1.4566875    56.5
-4.5243   -1.41384375   56.5
-4.3872   -1.371        56.5
-4.2501   -1.32815625   57
-4.113    -1.2853125    57.5
-3.9759   -1.24246875   57.5
-3.8388   -1.199625     57.5
-3.7017   -1.15678125   57.5
-3.5646   -1.1139375    57.5
-3.4275   -1.07109375   57.5
-3.2904   -1.02825      58
-3.1533   -0.98540625   57.5
-3.0162   -0.9425625    57.5
-2.8791   -0.89971875   57.5
-2.742    -0.856875     57
-2.6049   -0.81403125   56.5
-2.4678   -0.7711875    56
-2.3307   -0.72834375   56
-2.1936   -0.6855       56
-2.0565   -0.64265625   56
-1.9194   -0.5998125    56
-1.7823   -0.55696875   56
-1.6452   -0.514125     56
-1.5081   -0.47128125   55.5
-1.371    -0.4284375    55.5
-1.2339   -0.38559375   55
-1.0968   -0.34275      55
-0.9597   -0.29990625   55
-0.8226   -0.2570625    55.5
-0.6855   -0.21421875   54.5
-0.5484   -0.171375     55
-0.4113   -0.12853125   55
-0.2742   -0.0856875    55
-0.1371   -0.04284375   55
0         0             55
0.1371    0.04284375    55
0.2742    0.0856875     55
0.4113    0.12853125    55
0.5484    0.171375      55
0.6855    0.21421875    54.5
0.8226    0.2570625     55.5
0.9597    0.29990625    55
1.0968    0.34275       55
1.2339    0.38559375    55
1.371     0.4284375     55.5
1.5081    0.47128125    55.5
1.6452    0.514125      56
1.7823    0.55696875    56
1.9194    0.5998125     56
2.0565    0.64265625    56
2.1936    0.6855        56
2.3307    0.72834375    56
2.4678    0.7711875     56
2.6049    0.81403125    56.5
2.742     0.856875      57
2.8791    0.89971875    57.5
3.0162    0.9425625     57.5
3.1533    0.98540625    57.5
3.2904    1.02825       58
3.4275    1.07109375    57.5
3.5646    1.1139375     57.5
3.7017    1.15678125    57.5
3.8388    1.199625      57.5
3.9759    1.24246875    57.5
4.113     1.2853125     57.5
4.2501    1.32815625    57
4.3872    1.371         56.5
4.5243    1.41384375    56.5
4.6614    1.4566875     56.5
4.7985    1.49953125    56.5
4.9356    1.542375      56.5
5.0727    1.58521875    56.5
5.2098    1.6280625     56.5
5.3469    1.67090625    56.5
5.484     1.71375       56.5
5.6211    1.75659375    57
5.7582    1.7994375     57
5.8953    1.84228125    57.5
6.0324    1.885125      57.5
6.1695    1.92796875    58
6.3066    1.9708125     58.5
6.4437    2.01365625    58.5
6.5808    2.0565        58
6.7179    2.09934375    58.5
6.855     2.1421875     59
6.9921    2.18503125    58.5
7.1292    2.227875      58.5
7.2663    2.27071875    58
7.4034    2.3135625     58
7.5405    2.35640625    58
7.6776    2.39925       58
7.8147    2.44209375    58
7.9518    2.4849375     58
8.0889    2.52778125    57
8.226     2.570625      57.5
8.3631    2.61346875    57
8.5002    2.6563125     57
8.6373    2.69915625    57
8.7744    2.742         57
8.9115    2.78484375    57
9.0486    2.8276875     56.5
9.1857    2.87053125    56.5
9.3228    2.913375      56
9.4599    2.95621875    56
9.597     2.9990625     55.5
9.7341    3.04190625    55.5
9.8712    3.08475       55
10.0083   3.12759375    55
10.1454   3.1704375     55
10.2825   3.21328125    55
10.4196   3.256125      54.5
10.5567   3.29896875    54.5
10.6938   3.3418125     54
10.8309   3.38465625    54
10.968    3.4275        54
11.1051   3.47034375    54
11.2422   3.5131875     53
11.3793   3.55603125    53
11.5164   3.598875      53
11.6535   3.64171875    53
11.7906   3.6845625     52.5
11.9277   3.72740625    52.5
12.0648   3.77025       52.5
12.2019   3.81309375    52.5
12.339    3.8559375     52
12.4761   3.89878125    52
12.6132   3.941625      51.5
12.7503   3.98446875    51.5
12.8874   4.0273125     51.5
13.0245   4.07015625    52
13.1616   4.113         51.5
13.2987   4.15584375    51
13.4358   4.1986875     51
13.5729   4.24153125    51
13.71     4.284375      50.5
13.8471   4.32721875    49.5
13.9842   4.3700625     49.5
14.1213   4.41290625    49.5
14.2584   4.45575       49.5
14.3955   4.49859375    49
14.5326   4.5414375     48.5
14.6697   4.58428125    48.5
14.8068   4.627125      48.5
14.9439   4.66996875    48
15.081    4.7128125     48
15.2181   4.75565625    48
15.3552   4.7985        48
15.4923   4.84134375    48
15.6294   4.8841875     47.5
15.7665   4.92703125    47.5
15.9036   4.969875      47.5
16.0407   5.01271875    47.5
16.1778   5.0555625     47.5
16.3149   5.09840625    47.5
16.452    5.14125       47
16.5891   5.18409375    47
16.7262   5.2269375     47
16.8633   5.26978125    46
17.0004   5.312625      46
17.1375   5.35546875    46
17.2746   5.3983125     45.5
17.4117   5.44115625    45.5
17.5488   5.484         45.5
17.6859   5.52684375    45
17.823    5.5696875     45.5
17.9601   5.61253125    45
18.0972   5.655375      44.5
18.2343   5.69821875    44.5
18.3714   5.7410625     44.5
18.5085   5.78390625    44.5
18.6456   5.82675       44
18.7827   5.86959375    43.5
18.9198   5.9124375     43.5
19.0569   5.95528125    43
19.194    5.998125      43
19.3311   6.04096875    43
19.4682   6.0838125     43
19.6053   6.12665625    43
19.7424   6.1695        43
19.8795   6.21234375    43
20.0166   6.2551875     43
20.1537   6.29803125    43
20.2908   6.340875      43
20.4279   6.38371875    43.5
20.565    6.4265625     43.5
20.7021   6.46940625    43.5
20.8392   6.51225       43.5
20.9763   6.55509375    43.5
21.1134   6.5979375     43.5
21.2505   6.64078125    43.5
21.3876   6.683625      43.5
21.5247   6.72646875    43.5
21.6618   6.7693125     43.5
21.7989   6.81215625    43.5
21.936    6.855         43
22.0731   6.89784375    43
22.2102   6.9406875     42.5
22.3473   6.98353125    42.5
22.4844   7.026375      42.5
22.6215   7.06921875    42.5
22.7586   7.1120625     42.5
22.8957   7.15490625    42
23.0328   7.19775       41.5
23.1699   7.24059375    42
23.307    7.2834375     41
23.4441   7.32628125    41
23.5812   7.369125      41
23.7183   7.41196875    41
23.8554   7.4548125     40.5
23.9925   7.49765625    40.5
24.1296   7.5405        40.5
24.2667   7.58334375    40.5
24.4038   7.6261875     40
24.5409   7.66903125    40
24.678    7.711875      40
24.8151   7.75471875    40.5
24.9522   7.7975625     41
25.0893   7.84040625    41
25.2264   7.88325       41
25.3635   7.92609375    41
25.5006   7.9689375     41
25.6377   8.01178125    40.5
25.7748   8.054625      40.5
25.9119   8.09746875    40.5
26.049    8.1403125     40.5
26.1861   8.18315625    40.5
26.3232   8.226         40.5
26.4603   8.26884375    40
26.5974   8.3116875     40
26.7345   8.35453125    39.5
26.8716   8.397375      39.5
27.0087   8.44021875    39
27.1458   8.4830625     38.5
27.2829   8.52590625    38.5
27.42     8.56875       38.5
27.5571   8.61159375    38
27.6942   8.6544375     38
27.8313   8.69728125    38
27.9684   8.740125      37.5
28.1055   8.78296875    37
28.2426   8.8258125     36.5
28.3797   8.86865625    36.5
28.5168   8.9115        36
28.6539   8.95434375    35.5
28.791    8.9971875     35.5
28.9281   9.04003125    35.5
29.0652   9.082875      35
29.2023   9.12571875    35
29.3394   9.1685625     34.5
29.4765   9.21140625    34.5
29.6136   9.25425       34
29.7507   9.29709375    33.5
29.8878   9.3399375     33.5
30.0249   9.38278125    33.5
30.162    9.425625      33
30.2991   9.46846875    32.5
30.4362   9.5113125     32.5
30.5733   9.55415625    31.5
30.7104   9.597         31.5
30.8475   9.63984375    30.5
30.9846   9.6826875     30.5
31.1217   9.72553125    30.5
31.2588   9.768375      29.5
31.3959   9.81121875    29.5
31.533    9.8540625     29.5
31.6701   9.89690625    29
31.8072   9.93975       28.5
31.9443   9.98259375    28.5
32.0814   10.0254375    28.5
32.2185   10.06828125   28.5
32.3556   10.111125     28
32.4927   10.15396875   28
32.6298   10.1968125    28
32.7669   10.23965625   27.5
32.904    10.2825       27
33.0411   10.32534375   26.5
33.1782   10.3681875    26.5
33.3153   10.41103125   26.5
33.4524   10.453875     25.5
33.5895   10.49671875   25.5
33.7266   10.5395625    25
33.8637   10.58240625   25
34.0008   10.62525      24.5
34.1379   10.66809375   24.5
34.275    10.7109375    24.5
34.4121   10.75378125   24.5
34.5492   10.796625     25
