# z = 75 mm
# z/D = 23.4374 ~ 23
# r (mm)    r/D         OH (arb units)
-0.2742   -0.0856875    48.5    
-0.1371   -0.04284375   48.5    
0         0             49      
0.1371    0.04284375    48.5    
0.2742    0.0856875     48.5    
0.4113    0.12853125    48.5    
0.5484    0.171375      48.5    
0.6855    0.21421875    48.5    
0.8226    0.2570625     48.5    
0.9597    0.29990625    49      
1.0968    0.34275       48.5    
1.2339    0.38559375    48.5    
1.371     0.4284375     49      
1.5081    0.47128125    49.5    
1.6452    0.514125      49.5    
1.7823    0.55696875    50      
1.9194    0.5998125     50      
2.0565    0.64265625    50.5    
2.1936    0.6855        50.5    
2.3307    0.72834375    51.5    
2.4678    0.7711875     51.5    
2.6049    0.81403125    52.5    
2.742     0.856875      53.5    
2.8791    0.89971875    54.5    
3.0162    0.9425625     55.5    
3.1533    0.98540625    57.5    
3.2904    1.02825       59      
3.4275    1.07109375    61.5    
3.5646    1.1139375     64.5    
3.7017    1.15678125    68      
3.8388    1.199625      72      
3.9759    1.24246875    77.5    
4.113     1.2853125     84.5    
4.2501    1.32815625    93      
4.3872    1.371         103.5   
4.5243    1.41384375    117.5   
4.6614    1.4566875     134.5   
4.7985    1.49953125    155     
4.9356    1.542375      179     
5.0727    1.58521875    206     
5.2098    1.6280625     237     
5.3469    1.67090625    272.5   
5.484     1.71375       311     
5.6211    1.75659375    353     
5.7582    1.7994375     398     
5.8953    1.84228125    445.5   
6.0324    1.885125      496     
6.1695    1.92796875    548.5   
6.3066    1.9708125     602.5   
6.4437    2.01365625    656     
6.5808    2.0565        709     
6.7179    2.09934375    762.5   
6.855     2.1421875     814     
6.9921    2.18503125    862.5   
7.1292    2.227875      908.5   
7.2663    2.27071875    952     
7.4034    2.3135625     993     
7.5405    2.35640625    1032    
7.6776    2.39925       1067    
7.8147    2.44209375    1100    
7.9518    2.4849375     1129.5  
8.0889    2.52778125    1153.5  
8.226     2.570625      1170.5  
8.3631    2.61346875    1181    
8.5002    2.6563125     1185.5  
8.6373    2.69915625    1182.5  
8.7744    2.742         1171.5  
8.9115    2.78484375    1153    
9.0486    2.8276875     1128    
9.1857    2.87053125    1100    
9.3228    2.913375      1068    
9.4599    2.95621875    1033.5  
9.597     2.9990625     997     
9.7341    3.04190625    958.5   
9.8712    3.08475       917     
10.0083   3.12759375    873.5   
10.1454   3.1704375     827.5   
10.2825   3.21328125    777.5   
10.4196   3.256125      723.5   
10.5567   3.29896875    668     
10.6938   3.3418125     612     
10.8309   3.38465625    556.5   
10.968    3.4275        503.5   
11.1051   3.47034375    453     
11.2422   3.5131875     406.5   
11.3793   3.55603125    363     
11.5164   3.598875      323     
11.6535   3.64171875    286.5   
11.7906   3.6845625     254     
11.9277   3.72740625    224     
12.0648   3.77025       196.5   
12.2019   3.81309375    172.5   
12.339    3.8559375     152     
12.4761   3.89878125    133.5   
12.6132   3.941625      118     
12.7503   3.98446875    105     
12.8874   4.0273125     93.5    
13.0245   4.07015625    83.5    
13.1616   4.113         75      
13.2987   4.15584375    68      
13.4358   4.1986875     61.5    
13.5729   4.24153125    56      
13.71     4.284375      51      
13.8471   4.32721875    47      
13.9842   4.3700625     42.5    
14.1213   4.41290625    39.5    
14.2584   4.45575       37      
14.3955   4.49859375    34.5    
14.5326   4.5414375     32      
14.6697   4.58428125    30.5    
14.8068   4.627125      28.5    
14.9439   4.66996875    27      
15.081    4.7128125     26      
15.2181   4.75565625    25      
15.3552   4.7985        23.5    
15.4923   4.84134375    23      
15.6294   4.8841875     22      
15.7665   4.92703125    21      
15.9036   4.969875      20.5    
16.0407   5.01271875    20      
16.1778   5.0555625     19      
16.3149   5.09840625    18.5    
16.452    5.14125       17.5    
16.5891   5.18409375    16.5    
16.7262   5.2269375     16      
16.8633   5.26978125    15.5    
17.0004   5.312625      14.5    
17.1375   5.35546875    14      
17.2746   5.3983125     14      
17.4117   5.44115625    13      
17.5488   5.484         12.5    
17.6859   5.52684375    12      
17.823    5.5696875     12      
17.9601   5.61253125    11.5    
18.0972   5.655375      10.5    
18.2343   5.69821875    10      
18.3714   5.7410625     10      
18.5085   5.78390625    9.5     
18.6456   5.82675       9.5     
18.7827   5.86959375    9       
18.9198   5.9124375     8.5     
19.0569   5.95528125    8.5     
19.194    5.998125      8.5     
19.3311   6.04096875    8       
19.4682   6.0838125     8       
19.6053   6.12665625    7.5     
19.7424   6.1695        7.5     
19.8795   6.21234375    7       
20.0166   6.2551875     7       
20.1537   6.29803125    7       
20.2908   6.340875      7       
20.4279   6.38371875    7       
20.565    6.4265625     6.5     
20.7021   6.46940625    6.5     
20.8392   6.51225       6.5     
20.9763   6.55509375    6       
21.1134   6.5979375     6       
21.2505   6.64078125    5.5     
21.3876   6.683625      5.5     
21.5247   6.72646875    5.5     
21.6618   6.7693125     5.5     
21.7989   6.81215625    5.5     
21.936    6.855         5.5     
22.0731   6.89784375    5.5     
22.2102   6.9406875     5       
22.3473   6.98353125    5       
22.4844   7.026375      5       
22.6215   7.06921875    4.5     
22.7586   7.1120625     4.5     
22.8957   7.15490625    4.5     
23.0328   7.19775       4.5     
23.1699   7.24059375    4.5     
23.307    7.2834375     4       
23.4441   7.32628125    4       
23.5812   7.369125      4       
23.7183   7.41196875    4       
23.8554   7.4548125     3.5     
23.9925   7.49765625    3.5     
24.1296   7.5405        3.5     
24.2667   7.58334375    3.5     
24.4038   7.6261875     3       
24.5409   7.66903125    3       
24.678    7.711875      3       
24.8151   7.75471875    3       
24.9522   7.7975625     3       
25.0893   7.84040625    3       
25.2264   7.88325       3.5     
25.3635   7.92609375    3.5     
25.5006   7.9689375     2.5     
25.6377   8.01178125    2.5     
25.7748   8.054625      2.5     
25.9119   8.09746875    2.5     
26.049    8.1403125     2.5     
26.1861   8.18315625    2.5     
26.3232   8.226         2.5     
26.4603   8.26884375    2.5     
26.5974   8.3116875     2.5     
26.7345   8.35453125    2.5     
26.8716   8.397375      2.5     
27.0087   8.44021875    2.5     
27.1458   8.4830625     2.5     
27.2829   8.52590625    2       
27.42     8.56875       2       
27.5571   8.61159375    2       
27.6942   8.6544375     2       
27.8313   8.69728125    2       
27.9684   8.740125      1.5     
28.1055   8.78296875    1.5     
28.2426   8.8258125     1.5     
28.3797   8.86865625    1.5     
28.5168   8.9115        1.5     
28.6539   8.95434375    1.5     
28.791    8.9971875     1.5     
28.9281   9.04003125    1.5     
29.0652   9.082875      1.5     
29.2023   9.12571875    1.5     
29.3394   9.1685625     1.5     
29.4765   9.21140625    1.5     
29.6136   9.25425       1.5     
29.7507   9.29709375    1.5     
29.8878   9.3399375     1.5     
30.0249   9.38278125    1.5     
30.162    9.425625      1       
30.2991   9.46846875    1       
30.4362   9.5113125     1       
30.5733   9.55415625    1       
30.7104   9.597         1       
30.8475   9.63984375    1       
30.9846   9.6826875     0.5     
31.1217   9.72553125    0.5     
31.2588   9.768375      0.5     
31.3959   9.81121875    0.5     
31.533    9.8540625     0.5     
31.6701   9.89690625    0.5     
31.8072   9.93975       0.5     
31.9443   9.98259375    0.5     
32.0814   10.0254375    0.5     
32.2185   10.06828125   0.5     
32.3556   10.111125     0.5     
32.4927   10.15396875   0       
32.6298   10.1968125    0       
32.7669   10.23965625   0       
32.904    10.2825       0       
33.0411   10.32534375   0       
33.1782   10.3681875    0       
33.3153   10.41103125   0       
33.4524   10.453875     0       
33.5895   10.49671875   0       
33.7266   10.5395625    -0.5    
33.8637   10.58240625   -0.5    
34.0008   10.62525      -0.5    
34.1379   10.66809375   -0.5    
34.275    10.7109375    -0.5    
34.4121   10.75378125   -1      
34.5492   10.796625     0       
