# z = 225 mm
# z/D = 70.3125 ~ 70
# r (mm)    r/D         OH (arb units)
-9.4599   -2.95621875   102    
-9.3228   -2.913375     98     
-9.1857   -2.87053125   95     
-9.0486   -2.8276875    91     
-8.9115   -2.78484375   88     
-8.7744   -2.742        85     
-8.6373   -2.69915625   82     
-8.5002   -2.6563125    79.5   
-8.3631   -2.61346875   77     
-8.226    -2.570625     74.5   
-8.0889   -2.52778125   72.5   
-7.9518   -2.4849375    70.5   
-7.8147   -2.44209375   68.5   
-7.6776   -2.39925      66.5   
-7.5405   -2.35640625   64.5   
-7.4034   -2.3135625    63     
-7.2663   -2.27071875   61.5   
-7.1292   -2.227875     59.5   
-6.9921   -2.18503125   58.5   
-6.855    -2.1421875    57     
-6.7179   -2.09934375   55.5   
-6.5808   -2.0565       54.5   
-6.4437   -2.01365625   53     
-6.3066   -1.9708125    51.5   
-6.1695   -1.92796875   50.5   
-6.0324   -1.885125     49     
-5.8953   -1.84228125   47.5   
-5.7582   -1.7994375    46.5   
-5.6211   -1.75659375   45     
-5.484    -1.71375      44     
-5.3469   -1.67090625   43     
-5.2098   -1.6280625    41.5   
-5.0727   -1.58521875   40.5   
-4.9356   -1.542375     39.5   
-4.7985   -1.49953125   38.5   
-4.6614   -1.4566875    37.5   
-4.5243   -1.41384375   37     
-4.3872   -1.371        36     
-4.2501   -1.32815625   36     
-4.113    -1.2853125    35     
-3.9759   -1.24246875   35     
-3.8388   -1.199625     34.5   
-3.7017   -1.15678125   34     
-3.5646   -1.1139375    34     
-3.4275   -1.07109375   33.5   
-3.2904   -1.02825      33     
-3.1533   -0.98540625   32.5   
-3.0162   -0.9425625    32     
-2.8791   -0.89971875   31.5   
-2.742    -0.856875     31     
-2.6049   -0.81403125   31     
-2.4678   -0.7711875    30     
-2.3307   -0.72834375   30     
-2.1936   -0.6855       29.5   
-2.0565   -0.64265625   29.5   
-1.9194   -0.5998125    29.5   
-1.7823   -0.55696875   28.5   
-1.6452   -0.514125     28.5   
-1.5081   -0.47128125   28.5   
-1.371    -0.4284375    28.5   
-1.2339   -0.38559375   28     
-1.0968   -0.34275      28     
-0.9597   -0.29990625   28     
-0.8226   -0.2570625    28     
-0.6855   -0.21421875   28     
-0.5484   -0.171375     28.5   
-0.4113   -0.12853125   28.5   
-0.2742   -0.0856875    29     
-0.1371   -0.04284375   29     
0         0             29     
0.1371    0.04284375    29     
0.2742    0.0856875     29     
0.4113    0.12853125    28.5   
0.5484    0.171375      28.5   
0.6855    0.21421875    28     
0.8226    0.2570625     28     
0.9597    0.29990625    28     
1.0968    0.34275       28     
1.2339    0.38559375    28     
1.371     0.4284375     28.5   
1.5081    0.47128125    28.5   
1.6452    0.514125      28.5   
1.7823    0.55696875    28.5   
1.9194    0.5998125     29.5   
2.0565    0.64265625    29.5   
2.1936    0.6855        29.5   
2.3307    0.72834375    30     
2.4678    0.7711875     30     
2.6049    0.81403125    31     
2.742     0.856875      31     
2.8791    0.89971875    31.5   
3.0162    0.9425625     32     
3.1533    0.98540625    32.5   
3.2904    1.02825       33     
3.4275    1.07109375    33.5   
3.5646    1.1139375     34     
3.7017    1.15678125    34     
3.8388    1.199625      34.5   
3.9759    1.24246875    35     
4.113     1.2853125     35     
4.2501    1.32815625    36     
4.3872    1.371         36     
4.5243    1.41384375    37     
4.6614    1.4566875     37.5   
4.7985    1.49953125    38.5   
4.9356    1.542375      39.5   
5.0727    1.58521875    40.5   
5.2098    1.6280625     41.5   
5.3469    1.67090625    43     
5.484     1.71375       44     
5.6211    1.75659375    45     
5.7582    1.7994375     46.5   
5.8953    1.84228125    47.5   
6.0324    1.885125      49     
6.1695    1.92796875    50.5   
6.3066    1.9708125     51.5   
6.4437    2.01365625    53     
6.5808    2.0565        54.5   
6.7179    2.09934375    55.5   
6.855     2.1421875     57     
6.9921    2.18503125    58.5   
7.1292    2.227875      59.5   
7.2663    2.27071875    61.5   
7.4034    2.3135625     63     
7.5405    2.35640625    64.5   
7.6776    2.39925       66.5   
7.8147    2.44209375    68.5   
7.9518    2.4849375     70.5   
8.0889    2.52778125    72.5   
8.226     2.570625      74.5   
8.3631    2.61346875    77     
8.5002    2.6563125     79.5   
8.6373    2.69915625    82     
8.7744    2.742         85     
8.9115    2.78484375    88     
9.0486    2.8276875     91     
9.1857    2.87053125    95     
9.3228    2.913375      98     
9.4599    2.95621875    102    
9.597     2.9990625     106.5  
9.7341    3.04190625    110.5  
9.8712    3.08475       115    
10.0083   3.12759375    120    
10.1454   3.1704375     124.5  
10.2825   3.21328125    129.5  
10.4196   3.256125      134.5  
10.5567   3.29896875    139.5  
10.6938   3.3418125     144.5  
10.8309   3.38465625    149.5  
10.968    3.4275        155.5  
11.1051   3.47034375    161.5  
11.2422   3.5131875     167.5  
11.3793   3.55603125    174    
11.5164   3.598875      181    
11.6535   3.64171875    189    
11.7906   3.6845625     197    
11.9277   3.72740625    205    
12.0648   3.77025       213    
12.2019   3.81309375    221.5  
12.339    3.8559375     230.5  
12.4761   3.89878125    239    
12.6132   3.941625      247    
12.7503   3.98446875    255.5  
12.8874   4.0273125     264    
13.0245   4.07015625    272.5  
13.1616   4.113         280    
13.2987   4.15584375    288    
13.4358   4.1986875     296    
13.5729   4.24153125    304    
13.71     4.284375      312.5  
13.8471   4.32721875    321.5  
13.9842   4.3700625     331.5  
14.1213   4.41290625    342.5  
14.2584   4.45575       353.5  
14.3955   4.49859375    365.5  
14.5326   4.5414375     377.5  
14.6697   4.58428125    391.5  
14.8068   4.627125      405    
14.9439   4.66996875    419.5  
15.081    4.7128125     434    
15.2181   4.75565625    448    
15.3552   4.7985        461.5  
15.4923   4.84134375    475.5  
15.6294   4.8841875     488.5  
15.7665   4.92703125    501    
15.9036   4.969875      513    
16.0407   5.01271875    524.5  
16.1778   5.0555625     536    
16.3149   5.09840625    546.5  
16.452    5.14125       556    
16.5891   5.18409375    565.5  
16.7262   5.2269375     574.5  
16.8633   5.26978125    583.5  
17.0004   5.312625      591.5  
17.1375   5.35546875    600    
17.2746   5.3983125     607.5  
17.4117   5.44115625    616.5  
17.5488   5.484         625.5  
17.6859   5.52684375    633    
17.823    5.5696875     643    
17.9601   5.61253125    652.5  
18.0972   5.655375      660.5  
18.2343   5.69821875    670    
18.3714   5.7410625     678.5  
18.5085   5.78390625    687    
18.6456   5.82675       695.5  
18.7827   5.86959375    703    
18.9198   5.9124375     710.5  
19.0569   5.95528125    718    
19.194    5.998125      727    
19.3311   6.04096875    735    
19.4682   6.0838125     744    
19.6053   6.12665625    752.5  
19.7424   6.1695        762    
19.8795   6.21234375    772    
20.0166   6.2551875     782    
20.1537   6.29803125    791.5  
20.2908   6.340875      800    
20.4279   6.38371875    807.5  
20.565    6.4265625     812.5  
20.7021   6.46940625    816.5  
20.8392   6.51225       818.5  
20.9763   6.55509375    820    
21.1134   6.5979375     819    
21.2505   6.64078125    815.5  
21.3876   6.683625      812    
21.5247   6.72646875    807.5  
21.6618   6.7693125     800.5  
21.7989   6.81215625    794.5  
21.936    6.855         787.5  
22.0731   6.89784375    782    
22.2102   6.9406875     778    
22.3473   6.98353125    775    
22.4844   7.026375      772    
22.6215   7.06921875    770.5  
22.7586   7.1120625     769.5  
22.8957   7.15490625    769.5  
23.0328   7.19775       767.5  
23.1699   7.24059375    765.5  
23.307    7.2834375     762.5  
23.4441   7.32628125    759    
23.5812   7.369125      754.5  
23.7183   7.41196875    747    
23.8554   7.4548125     738    
23.9925   7.49765625    728.5  
24.1296   7.5405        720    
24.2667   7.58334375    711    
24.4038   7.6261875     700.5  
24.5409   7.66903125    691    
24.678    7.711875      683.5  
24.8151   7.75471875    677    
24.9522   7.7975625     671    
25.0893   7.84040625    663    
25.2264   7.88325       655.5  
25.3635   7.92609375    648.5  
25.5006   7.9689375     640    
25.6377   8.01178125    630.5  
25.7748   8.054625      619.5  
25.9119   8.09746875    608.5  
26.049    8.1403125     598.5  
26.1861   8.18315625    587.5  
26.3232   8.226         577.5  
26.4603   8.26884375    566.5  
26.5974   8.3116875     555    
26.7345   8.35453125    544.5  
26.8716   8.397375      533.5  
27.0087   8.44021875    523    
27.1458   8.4830625     512.5  
27.2829   8.52590625    501    
27.42     8.56875       490.5  
27.5571   8.61159375    480.5  
27.6942   8.6544375     469    
27.8313   8.69728125    457.5  
27.9684   8.740125      445.5  
28.1055   8.78296875    433.5  
28.2426   8.8258125     422.5  
28.3797   8.86865625    411.5  
28.5168   8.9115        400.5  
28.6539   8.95434375    390    
28.791    8.9971875     380    
28.9281   9.04003125    371.5  
29.0652   9.082875      362.5  
29.2023   9.12571875    353    
29.3394   9.1685625     343.5  
29.4765   9.21140625    335.5  
29.6136   9.25425       327    
29.7507   9.29709375    318    
29.8878   9.3399375     309.5  
30.0249   9.38278125    300.5  
30.162    9.425625      291.5  
30.2991   9.46846875    282.5  
30.4362   9.5113125     273.5  
30.5733   9.55415625    264    
30.7104   9.597         254.5  
30.8475   9.63984375    246    
30.9846   9.6826875     237    
31.1217   9.72553125    228.5  
31.2588   9.768375      220.5  
31.3959   9.81121875    213.5  
31.533    9.8540625     207    
31.6701   9.89690625    200.5  
31.8072   9.93975       194.5  
31.9443   9.98259375    189    
32.0814   10.0254375    183.5  
32.2185   10.06828125   178.5  
32.3556   10.111125     173.5  
32.4927   10.15396875   169    
32.6298   10.1968125    164.5  
32.7669   10.23965625   160    
32.904    10.2825       155    
33.0411   10.32534375   150    
33.1782   10.3681875    145    
33.3153   10.41103125   139.5  
33.4524   10.453875     134    
33.5895   10.49671875   128    
33.7266   10.5395625    123    
33.8637   10.58240625   117    
34.0008   10.62525      112    
34.1379   10.66809375   107    
34.275    10.7109375    102    
34.4121   10.75378125   98     
34.5492   10.796625     94.5   
