# z = 675 mm
# z/D = 210.9375 ~ 211
# r (mm)    r/D         OH (arb units)
-4.2501   -1.32815625   363.5  
-4.113    -1.2853125    365    
-3.9759   -1.24246875   366.5  
-3.8388   -1.199625     366.5  
-3.7017   -1.15678125   367.5  
-3.5646   -1.1139375    368.5  
-3.4275   -1.07109375   369.5  
-3.2904   -1.02825      369    
-3.1533   -0.98540625   368    
-3.0162   -0.9425625    366.5  
-2.8791   -0.89971875   364.5  
-2.742    -0.856875     363    
-2.6049   -0.81403125   361.5  
-2.4678   -0.7711875    360    
-2.3307   -0.72834375   358    
-2.1936   -0.6855       357    
-2.0565   -0.64265625   356.5  
-1.9194   -0.5998125    356    
-1.7823   -0.55696875   355.5  
-1.6452   -0.514125     355.5  
-1.5081   -0.47128125   355    
-1.371    -0.4284375    354    
-1.2339   -0.38559375   353    
-1.0968   -0.34275      352.5  
-0.9597   -0.29990625   352    
-0.8226   -0.2570625    351.5  
-0.6855   -0.21421875   351    
-0.5484   -0.171375     351    
-0.4113   -0.12853125   351.5  
-0.2742   -0.0856875    352.5  
-0.1371   -0.04284375   352    
0         0             352    
0.1371    0.04284375    352    
0.2742    0.0856875     352.5  
0.4113    0.12853125    351.5  
0.5484    0.171375      351    
0.6855    0.21421875    351    
0.8226    0.2570625     351.5  
0.9597    0.29990625    352    
1.0968    0.34275       352.5  
1.2339    0.38559375    353    
1.371     0.4284375     354    
1.5081    0.47128125    355    
1.6452    0.514125      355.5  
1.7823    0.55696875    355.5  
1.9194    0.5998125     356    
2.0565    0.64265625    356.5  
2.1936    0.6855        357    
2.3307    0.72834375    358    
2.4678    0.7711875     360    
2.6049    0.81403125    361.5  
2.742     0.856875      363    
2.8791    0.89971875    364.5  
3.0162    0.9425625     366.5  
3.1533    0.98540625    368    
3.2904    1.02825       369    
3.4275    1.07109375    369.5  
3.5646    1.1139375     368.5  
3.7017    1.15678125    367.5  
3.8388    1.199625      366.5  
3.9759    1.24246875    366.5  
4.113     1.2853125     365    
4.2501    1.32815625    363.5  
4.3872    1.371         363    
4.5243    1.41384375    363    
4.6614    1.4566875     363.5  
4.7985    1.49953125    363.5  
4.9356    1.542375      363.5  
5.0727    1.58521875    362.5  
5.2098    1.6280625     363    
5.3469    1.67090625    363.5  
5.484     1.71375       364    
5.6211    1.75659375    364.5  
5.7582    1.7994375     365.5  
5.8953    1.84228125    366.5  
6.0324    1.885125      368.5  
6.1695    1.92796875    370    
6.3066    1.9708125     371    
6.4437    2.01365625    372    
6.5808    2.0565        372.5  
6.7179    2.09934375    373    
6.855     2.1421875     373    
6.9921    2.18503125    372    
7.1292    2.227875      371    
7.2663    2.27071875    370    
7.4034    2.3135625     369.5  
7.5405    2.35640625    369    
7.6776    2.39925       368    
7.8147    2.44209375    367.5  
7.9518    2.4849375     367.5  
8.0889    2.52778125    367.5  
8.226     2.570625      367    
8.3631    2.61346875    366.5  
8.5002    2.6563125     366.5  
8.6373    2.69915625    366.5  
8.7744    2.742         367    
8.9115    2.78484375    367    
9.0486    2.8276875     366.5  
9.1857    2.87053125    366    
9.3228    2.913375      366    
9.4599    2.95621875    367    
9.597     2.9990625     367    
9.7341    3.04190625    367    
9.8712    3.08475       367    
10.0083   3.12759375    367    
10.1454   3.1704375     367.5  
10.2825   3.21328125    367.5  
10.4196   3.256125      367    
10.5567   3.29896875    367    
10.6938   3.3418125     366.5  
10.8309   3.38465625    366    
10.968    3.4275        365.5  
11.1051   3.47034375    365.5  
11.2422   3.5131875     365.5  
11.3793   3.55603125    365    
11.5164   3.598875      365    
11.6535   3.64171875    365.5  
11.7906   3.6845625     365.5  
11.9277   3.72740625    365.5  
12.0648   3.77025       365.5  
12.2019   3.81309375    366    
12.339    3.8559375     367    
12.4761   3.89878125    366.5  
12.6132   3.941625      366.5  
12.7503   3.98446875    366.5  
12.8874   4.0273125     366.5  
13.0245   4.07015625    366.5  
13.1616   4.113         365    
13.2987   4.15584375    364.5  
13.4358   4.1986875     363.5  
13.5729   4.24153125    361    
13.71     4.284375      359.5  
13.8471   4.32721875    358    
13.9842   4.3700625     356    
14.1213   4.41290625    355    
14.2584   4.45575       352.5  
14.3955   4.49859375    351    
14.5326   4.5414375     349.5  
14.6697   4.58428125    348.5  
14.8068   4.627125      348    
14.9439   4.66996875    347.5  
15.081    4.7128125     347    
15.2181   4.75565625    346.5  
15.3552   4.7985        347    
15.4923   4.84134375    347.5  
15.6294   4.8841875     347.5  
15.7665   4.92703125    347.5  
15.9036   4.969875      347.5  
16.0407   5.01271875    346.5  
16.1778   5.0555625     346.5  
16.3149   5.09840625    345.5  
16.452    5.14125       343.5  
16.5891   5.18409375    341.5  
16.7262   5.2269375     340.5  
16.8633   5.26978125    338.5  
17.0004   5.312625      337    
17.1375   5.35546875    335    
17.2746   5.3983125     332.5  
17.4117   5.44115625    331    
17.5488   5.484         328.5  
17.6859   5.52684375    326    
17.823    5.5696875     324    
17.9601   5.61253125    321.5  
18.0972   5.655375      318.5  
18.2343   5.69821875    316.5  
18.3714   5.7410625     314.5  
18.5085   5.78390625    312    
18.6456   5.82675       310.5  
18.7827   5.86959375    308    
18.9198   5.9124375     306    
19.0569   5.95528125    304.5  
19.194    5.998125      303    
19.3311   6.04096875    301.5  
19.4682   6.0838125     301    
19.6053   6.12665625    300    
19.7424   6.1695        299.5  
19.8795   6.21234375    299.5  
20.0166   6.2551875     300    
20.1537   6.29803125    300    
20.2908   6.340875      300.5  
20.4279   6.38371875    300.5  
20.565    6.4265625     301    
20.7021   6.46940625    301    
20.8392   6.51225       301    
20.9763   6.55509375    300.5  
21.1134   6.5979375     300    
21.2505   6.64078125    299.5  
21.3876   6.683625      298.5  
21.5247   6.72646875    297    
21.6618   6.7693125     295    
21.7989   6.81215625    293.5  
21.936    6.855         292    
22.0731   6.89784375    290    
22.2102   6.9406875     288    
22.3473   6.98353125    287    
22.4844   7.026375      285.5  
22.6215   7.06921875    284.5  
22.7586   7.1120625     283.5  
22.8957   7.15490625    282.5  
23.0328   7.19775       281.5  
23.1699   7.24059375    280.5  
23.307    7.2834375     279    
23.4441   7.32628125    277.5  
23.5812   7.369125      276    
23.7183   7.41196875    274.5  
23.8554   7.4548125     271.5  
23.9925   7.49765625    269.5  
24.1296   7.5405        268.5  
24.2667   7.58334375    266.5  
24.4038   7.6261875     265.5  
24.5409   7.66903125    264.5  
24.678    7.711875      264    
24.8151   7.75471875    264.5  
24.9522   7.7975625     265    
25.0893   7.84040625    263.5  
25.2264   7.88325       263    
25.3635   7.92609375    262.5  
25.5006   7.9689375     262    
25.6377   8.01178125    260.5  
25.7748   8.054625      259    
25.9119   8.09746875    257.5  
26.049    8.1403125     257    
26.1861   8.18315625    255.5  
26.3232   8.226         254.5  
26.4603   8.26884375    254    
26.5974   8.3116875     252    
26.7345   8.35453125    251    
26.8716   8.397375      249.5  
27.0087   8.44021875    249    
27.1458   8.4830625     248    
27.2829   8.52590625    247    
27.42     8.56875       246.5  
27.5571   8.61159375    246    
27.6942   8.6544375     244.5  
27.8313   8.69728125    243    
27.9684   8.740125      241.5  
28.1055   8.78296875    239    
28.2426   8.8258125     237    
28.3797   8.86865625    236    
28.5168   8.9115        234    
28.6539   8.95434375    232.5  
28.791    8.9971875     231.5  
28.9281   9.04003125    230.5  
29.0652   9.082875      230    
29.2023   9.12571875    229    
29.3394   9.1685625     228.5  
29.4765   9.21140625    228    
29.6136   9.25425       228    
29.7507   9.29709375    227.5  
29.8878   9.3399375     226.5  
30.0249   9.38278125    226    
30.162    9.425625      225    
30.2991   9.46846875    223    
30.4362   9.5113125     221.5  
30.5733   9.55415625    219    
30.7104   9.597         217.5  
30.8475   9.63984375    216    
30.9846   9.6826875     213.5  
31.1217   9.72553125    212    
31.2588   9.768375      210.5  
31.3959   9.81121875    209.5  
31.533    9.8540625     208.5  
31.6701   9.89690625    207    
31.8072   9.93975       206    
31.9443   9.98259375    204.5  
32.0814   10.0254375    203.5  
32.2185   10.06828125   202.5  
32.3556   10.111125     201    
32.4927   10.15396875   200    
32.6298   10.1968125    199    
32.7669   10.23965625   197.5  
32.904    10.2825       196.5  
33.0411   10.32534375   195.5  
33.1782   10.3681875    195    
33.3153   10.41103125   193    
33.4524   10.453875     192    
33.5895   10.49671875   191    
33.7266   10.5395625    190    
33.8637   10.58240625   188.5  
34.0008   10.62525      188    
34.1379   10.66809375   187.5  
34.275    10.7109375    187.5  
34.4121   10.75378125   187.5  
34.5492   10.796625     188    
