# z = 525 mm
# z/D = 164.0625 ~ 164
# r (mm)    r/D         OH (arb units)
-5.6211   -1.75659375   319.5  
-5.484    -1.71375      317.5  
-5.3469   -1.67090625   316.5  
-5.2098   -1.6280625    316    
-5.0727   -1.58521875   314.5  
-4.9356   -1.542375     314    
-4.7985   -1.49953125   314    
-4.6614   -1.4566875    313    
-4.5243   -1.41384375   311.5  
-4.3872   -1.371        310.5  
-4.2501   -1.32815625   309.5  
-4.113    -1.2853125    309.5  
-3.9759   -1.24246875   309.5  
-3.8388   -1.199625     309.5  
-3.7017   -1.15678125   309    
-3.5646   -1.1139375    309    
-3.4275   -1.07109375   309    
-3.2904   -1.02825      308    
-3.1533   -0.98540625   307    
-3.0162   -0.9425625    305    
-2.8791   -0.89971875   303.5  
-2.742    -0.856875     301.5  
-2.6049   -0.81403125   300.5  
-2.4678   -0.7711875    299.5  
-2.3307   -0.72834375   298.5  
-2.1936   -0.6855       297    
-2.0565   -0.64265625   296.5  
-1.9194   -0.5998125    296.5  
-1.7823   -0.55696875   297    
-1.6452   -0.514125     297    
-1.5081   -0.47128125   297    
-1.371    -0.4284375    297.5  
-1.2339   -0.38559375   297.5  
-1.0968   -0.34275      297.5  
-0.9597   -0.29990625   298    
-0.8226   -0.2570625    298    
-0.6855   -0.21421875   298    
-0.5484   -0.171375     299.5  
-0.4113   -0.12853125   300    
-0.2742   -0.0856875    301.5  
-0.1371   -0.04284375   301    
0         0             301    
0.1371    0.04284375    301    
0.2742    0.0856875     301.5  
0.4113    0.12853125    300    
0.5484    0.171375      299.5  
0.6855    0.21421875    298    
0.8226    0.2570625     298    
0.9597    0.29990625    298    
1.0968    0.34275       297.5  
1.2339    0.38559375    297.5  
1.371     0.4284375     297.5  
1.5081    0.47128125    297    
1.6452    0.514125      297    
1.7823    0.55696875    297    
1.9194    0.5998125     296.5  
2.0565    0.64265625    296.5  
2.1936    0.6855        297    
2.3307    0.72834375    298.5  
2.4678    0.7711875     299.5  
2.6049    0.81403125    300.5  
2.742     0.856875      301.5  
2.8791    0.89971875    303.5  
3.0162    0.9425625     305    
3.1533    0.98540625    307    
3.2904    1.02825       308    
3.4275    1.07109375    309    
3.5646    1.1139375     309    
3.7017    1.15678125    309    
3.8388    1.199625      309.5  
3.9759    1.24246875    309.5  
4.113     1.2853125     309.5  
4.2501    1.32815625    309.5  
4.3872    1.371         310.5  
4.5243    1.41384375    311.5  
4.6614    1.4566875     313    
4.7985    1.49953125    314    
4.9356    1.542375      314    
5.0727    1.58521875    314.5  
5.2098    1.6280625     316    
5.3469    1.67090625    316.5  
5.484     1.71375       317.5  
5.6211    1.75659375    319.5  
5.7582    1.7994375     320.5  
5.8953    1.84228125    322.5  
6.0324    1.885125      324.5  
6.1695    1.92796875    326    
6.3066    1.9708125     328.5  
6.4437    2.01365625    329.5  
6.5808    2.0565        330    
6.7179    2.09934375    331.5  
6.855     2.1421875     332.5  
6.9921    2.18503125    332    
7.1292    2.227875      332    
7.2663    2.27071875    332    
7.4034    2.3135625     332.5  
7.5405    2.35640625    332.5  
7.6776    2.39925       332.5  
7.8147    2.44209375    332.5  
7.9518    2.4849375     333.5  
8.0889    2.52778125    334.5  
8.226     2.570625      334.5  
8.3631    2.61346875    335.5  
8.5002    2.6563125     336.5  
8.6373    2.69915625    337.5  
8.7744    2.742         338.5  
8.9115    2.78484375    339    
9.0486    2.8276875     340    
9.1857    2.87053125    340.5  
9.3228    2.913375      341.5  
9.4599    2.95621875    342    
9.597     2.9990625     342.5  
9.7341    3.04190625    343    
9.8712    3.08475       344    
10.0083   3.12759375    345    
10.1454   3.1704375     346    
10.2825   3.21328125    346.5  
10.4196   3.256125      346    
10.5567   3.29896875    347    
10.6938   3.3418125     347    
10.8309   3.38465625    347    
10.968    3.4275        346.5  
11.1051   3.47034375    347    
11.2422   3.5131875     348    
11.3793   3.55603125    348    
11.5164   3.598875      348.5  
11.6535   3.64171875    350    
11.7906   3.6845625     351    
11.9277   3.72740625    352.5  
12.0648   3.77025       353.5  
12.2019   3.81309375    354.5  
12.339    3.8559375     356.5  
12.4761   3.89878125    357.5  
12.6132   3.941625      358    
12.7503   3.98446875    359.5  
12.8874   4.0273125     360    
13.0245   4.07015625    361.5  
13.1616   4.113         361    
13.2987   4.15584375    361.5  
13.4358   4.1986875     361.5  
13.5729   4.24153125    361    
13.71     4.284375      361    
13.8471   4.32721875    360.5  
13.9842   4.3700625     360.5  
14.1213   4.41290625    360.5  
14.2584   4.45575       360    
14.3955   4.49859375    359.5  
14.5326   4.5414375     359.5  
14.6697   4.58428125    360    
14.8068   4.627125      361.5  
14.9439   4.66996875    362    
15.081    4.7128125     362.5  
15.2181   4.75565625    364    
15.3552   4.7985        365    
15.4923   4.84134375    367    
15.6294   4.8841875     367.5  
15.7665   4.92703125    368.5  
15.9036   4.969875      369    
16.0407   5.01271875    369    
16.1778   5.0555625     369    
16.3149   5.09840625    369    
16.452    5.14125       368    
16.5891   5.18409375    366.5  
16.7262   5.2269375     366    
16.8633   5.26978125    364.5  
17.0004   5.312625      363.5  
17.1375   5.35546875    362    
17.2746   5.3983125     361.5  
17.4117   5.44115625    360.5  
17.5488   5.484         360    
17.6859   5.52684375    358.5  
17.823    5.5696875     359    
17.9601   5.61253125    358    
18.0972   5.655375      357    
18.2343   5.69821875    357    
18.3714   5.7410625     356.5  
18.5085   5.78390625    355.5  
18.6456   5.82675       356    
18.7827   5.86959375    355    
18.9198   5.9124375     354    
19.0569   5.95528125    354    
19.194    5.998125      354    
19.3311   6.04096875    354.5  
19.4682   6.0838125     354.5  
19.6053   6.12665625    355    
19.7424   6.1695        355.5  
19.8795   6.21234375    357.5  
20.0166   6.2551875     359.5  
20.1537   6.29803125    361.5  
20.2908   6.340875      363.5  
20.4279   6.38371875    365.5  
20.565    6.4265625     367.5  
20.7021   6.46940625    369    
20.8392   6.51225       371.5  
20.9763   6.55509375    373    
21.1134   6.5979375     374.5  
21.2505   6.64078125    375    
21.3876   6.683625      376    
21.5247   6.72646875    377    
21.6618   6.7693125     376.5  
21.7989   6.81215625    376    
21.936    6.855         375    
22.0731   6.89784375    374.5  
22.2102   6.9406875     374.5  
22.3473   6.98353125    374.5  
22.4844   7.026375      374.5  
22.6215   7.06921875    375    
22.7586   7.1120625     376    
22.8957   7.15490625    377.5  
23.0328   7.19775       378    
23.1699   7.24059375    378.5  
23.307    7.2834375     378.5  
23.4441   7.32628125    378.5  
23.5812   7.369125      378.5  
23.7183   7.41196875    377.5  
23.8554   7.4548125     376    
23.9925   7.49765625    375    
24.1296   7.5405        374.5  
24.2667   7.58334375    374    
24.4038   7.6261875     373.5  
24.5409   7.66903125    373.5  
24.678    7.711875      374.5  
24.8151   7.75471875    375.5  
24.9522   7.7975625     377    
25.0893   7.84040625    378    
25.2264   7.88325       378    
25.3635   7.92609375    379    
25.5006   7.9689375     379    
25.6377   8.01178125    379    
25.7748   8.054625      378    
25.9119   8.09746875    377.5  
26.049    8.1403125     377.5  
26.1861   8.18315625    378    
26.3232   8.226         378.5  
26.4603   8.26884375    378.5  
26.5974   8.3116875     378    
26.7345   8.35453125    378.5  
26.8716   8.397375      379    
27.0087   8.44021875    379.5  
27.1458   8.4830625     379.5  
27.2829   8.52590625    379    
27.42     8.56875       379    
27.5571   8.61159375    379    
27.6942   8.6544375     378.5  
27.8313   8.69728125    377.5  
27.9684   8.740125      376    
28.1055   8.78296875    374    
28.2426   8.8258125     373    
28.3797   8.86865625    371.5  
28.5168   8.9115        370    
28.6539   8.95434375    368.5  
28.791    8.9971875     368    
28.9281   9.04003125    367.5  
29.0652   9.082875      367    
29.2023   9.12571875    366.5  
29.3394   9.1685625     367    
29.4765   9.21140625    367.5  
29.6136   9.25425       369    
29.7507   9.29709375    369.5  
29.8878   9.3399375     370.5  
30.0249   9.38278125    372    
30.162    9.425625      371.5  
30.2991   9.46846875    371    
30.4362   9.5113125     370    
30.5733   9.55415625    367.5  
30.7104   9.597         366    
30.8475   9.63984375    364.5  
30.9846   9.6826875     361.5  
31.1217   9.72553125    360    
31.2588   9.768375      358.5  
31.3959   9.81121875    357    
31.533    9.8540625     356.5  
31.6701   9.89690625    355.5  
31.8072   9.93975       354.5  
31.9443   9.98259375    354    
32.0814   10.0254375    354    
32.2185   10.06828125   353.5  
32.3556   10.111125     352.5  
32.4927   10.15396875   351.5  
32.6298   10.1968125    350.5  
32.7669   10.23965625   349.5  
32.904    10.2825       348.5  
33.0411   10.32534375   347    
33.1782   10.3681875    346    
33.3153   10.41103125   344.5  
33.4524   10.453875     343    
33.5895   10.49671875   341.5  
33.7266   10.5395625    340    
33.8637   10.58240625   339    
34.0008   10.62525      337.5  
34.1379   10.66809375   337    
34.275    10.7109375    336    
34.4121   10.75378125   335.5  
34.5492   10.796625     335.5  
