# z = 375 mm
# z/D = 117.1875 ~ 117
# r (mm)    r/D         PAH (arb units)
-1.6452   -0.514125     572    
-1.5081   -0.47128125   571    
-1.371    -0.4284375    570    
-1.2339   -0.38559375   568    
-1.0968   -0.34275      565.5  
-0.9597   -0.29990625   562.5  
-0.8226   -0.2570625    560    
-0.6855   -0.21421875   557    
-0.5484   -0.171375     556.5  
-0.4113   -0.12853125   556    
-0.2742   -0.0856875    556    
-0.1371   -0.04284375   555.5  
0         0             555    
0.1371    0.04284375    555.5  
0.2742    0.0856875     556    
0.4113    0.12853125    556    
0.5484    0.171375      556.5  
0.6855    0.21421875    557    
0.8226    0.2570625     560    
0.9597    0.29990625    562.5  
1.0968    0.34275       565.5  
1.2339    0.38559375    568    
1.371     0.4284375     570    
1.5081    0.47128125    571    
1.6452    0.514125      572    
1.7823    0.55696875    573    
1.9194    0.5998125     573    
2.0565    0.64265625    573.5  
2.1936    0.6855        574.5  
2.3307    0.72834375    576.5  
2.4678    0.7711875     578.5  
2.6049    0.81403125    581    
2.742     0.856875      583.5  
2.8791    0.89971875    586.5  
3.0162    0.9425625     590    
3.1533    0.98540625    593.5  
3.2904    1.02825       595    
3.4275    1.07109375    593    
3.5646    1.1139375     591.5  
3.7017    1.15678125    588.5  
3.8388    1.199625      586.5  
3.9759    1.24246875    586    
4.113     1.2853125     584    
4.2501    1.32815625    581    
4.3872    1.371         581    
4.5243    1.41384375    579.5  
4.6614    1.4566875     579.5  
4.7985    1.49953125    579    
4.9356    1.542375      576    
5.0727    1.58521875    573    
5.2098    1.6280625     573    
5.3469    1.67090625    572.5  
5.484     1.71375       573    
5.6211    1.75659375    573.5  
5.7582    1.7994375     574    
5.8953    1.84228125    574    
6.0324    1.885125      574    
6.1695    1.92796875    574.5  
6.3066    1.9708125     573.5  
6.4437    2.01365625    571.5  
6.5808    2.0565        567.5  
6.7179    2.09934375    564.5  
6.855     2.1421875     562    
6.9921    2.18503125    556    
7.1292    2.227875      550    
7.2663    2.27071875    544    
7.4034    2.3135625     538.5  
7.5405    2.35640625    534    
7.6776    2.39925       528    
7.8147    2.44209375    522    
7.9518    2.4849375     517.5  
8.0889    2.52778125    512.5  
8.226     2.570625      507.5  
8.3631    2.61346875    504    
8.5002    2.6563125     500    
8.6373    2.69915625    498    
8.7744    2.742         496.5  
8.9115    2.78484375    494.5  
9.0486    2.8276875     492.5  
9.1857    2.87053125    490.5  
9.3228    2.913375      487.5  
9.4599    2.95621875    485.5  
9.597     2.9990625     483.5  
9.7341    3.04190625    480.5  
9.8712    3.08475       478.5  
10.0083   3.12759375    476    
10.1454   3.1704375     474    
10.2825   3.21328125    471    
10.4196   3.256125      466.5  
10.5567   3.29896875    462.5  
10.6938   3.3418125     458    
10.8309   3.38465625    451.5  
10.968    3.4275        444.5  
11.1051   3.47034375    437.5  
11.2422   3.5131875     432    
11.3793   3.55603125    426    
11.5164   3.598875      419.5  
11.6535   3.64171875    413.5  
11.7906   3.6845625     408.5  
11.9277   3.72740625    404    
12.0648   3.77025       401    
12.2019   3.81309375    398    
12.339    3.8559375     395    
12.4761   3.89878125    392    
12.6132   3.941625      390    
12.7503   3.98446875    388    
12.8874   4.0273125     386.5  
13.0245   4.07015625    384.5  
13.1616   4.113         381    
13.2987   4.15584375    378    
13.4358   4.1986875     376.5  
13.5729   4.24153125    372.5  
13.71     4.284375      368.5  
13.8471   4.32721875    364.5  
13.9842   4.3700625     361.5  
14.1213   4.41290625    359    
14.2584   4.45575       354.5  
14.3955   4.49859375    351    
14.5326   4.5414375     348    
14.6697   4.58428125    346.5  
14.8068   4.627125      344    
14.9439   4.66996875    341    
15.081    4.7128125     340    
15.2181   4.75565625    338    
15.3552   4.7985        336    
15.4923   4.84134375    335    
15.6294   4.8841875     334    
15.7665   4.92703125    332.5  
15.9036   4.969875      330.5  
16.0407   5.01271875    329    
16.1778   5.0555625     327    
16.3149   5.09840625    325    
16.452    5.14125       322    
16.5891   5.18409375    319.5  
16.7262   5.2269375     317.5  
16.8633   5.26978125    316    
17.0004   5.312625      315    
17.1375   5.35546875    313    
17.2746   5.3983125     311    
17.4117   5.44115625    309    
17.5488   5.484         307.5  
17.6859   5.52684375    305.5  
17.823    5.5696875     303    
17.9601   5.61253125    300.5  
18.0972   5.655375      298.5  
18.2343   5.69821875    297    
18.3714   5.7410625     295    
18.5085   5.78390625    292    
18.6456   5.82675       290    
18.7827   5.86959375    288    
18.9198   5.9124375     286.5  
19.0569   5.95528125    285    
19.194    5.998125      283.5  
19.3311   6.04096875    282    
19.4682   6.0838125     280.5  
19.6053   6.12665625    279    
19.7424   6.1695        278    
19.8795   6.21234375    276.5  
20.0166   6.2551875     275    
20.1537   6.29803125    274    
20.2908   6.340875      273.5  
20.4279   6.38371875    273    
20.565    6.4265625     271.5  
20.7021   6.46940625    270    
20.8392   6.51225       269.5  
20.9763   6.55509375    268.5  
21.1134   6.5979375     267.5  
21.2505   6.64078125    266    
21.3876   6.683625      265    
21.5247   6.72646875    265    
21.6618   6.7693125     263.5  
21.7989   6.81215625    262    
21.936    6.855         260    
22.0731   6.89784375    258.5  
22.2102   6.9406875     257    
22.3473   6.98353125    255.5  
22.4844   7.026375      253.5  
22.6215   7.06921875    251.5  
22.7586   7.1120625     249.5  
22.8957   7.15490625    249    
23.0328   7.19775       247.5  
23.1699   7.24059375    245    
23.307    7.2834375     242    
23.4441   7.32628125    239    
23.5812   7.369125      236    
23.7183   7.41196875    232    
23.8554   7.4548125     227.5  
23.9925   7.49765625    223    
24.1296   7.5405        219    
24.2667   7.58334375    216.5  
24.4038   7.6261875     213.5  
24.5409   7.66903125    211    
24.678    7.711875      209.5  
24.8151   7.75471875    208.5  
24.9522   7.7975625     207.5  
25.0893   7.84040625    205    
25.2264   7.88325       203    
25.3635   7.92609375    201.5  
25.5006   7.9689375     199    
25.6377   8.01178125    197    
25.7748   8.054625      194.5  
25.9119   8.09746875    192.5  
26.049    8.1403125     191    
26.1861   8.18315625    188.5  
26.3232   8.226         186.5  
26.4603   8.26884375    183.5  
26.5974   8.3116875     181    
26.7345   8.35453125    179    
26.8716   8.397375      176.5  
27.0087   8.44021875    174.5  
27.1458   8.4830625     173    
27.2829   8.52590625    170.5  
27.42     8.56875       169    
27.5571   8.61159375    167.5  
27.6942   8.6544375     165    
27.8313   8.69728125    163    
27.9684   8.740125      161    
28.1055   8.78296875    158.5  
28.2426   8.8258125     157.5  
28.3797   8.86865625    156.5  
28.5168   8.9115        155    
28.6539   8.95434375    153.5  
28.791    8.9971875     151.5  
28.9281   9.04003125    150    
29.0652   9.082875      148.5  
29.2023   9.12571875    146.5  
29.3394   9.1685625     145    
29.4765   9.21140625    144    
29.6136   9.25425       143.5  
29.7507   9.29709375    143.5  
29.8878   9.3399375     143    
30.0249   9.38278125    141.5  
30.162    9.425625      139.5  
30.2991   9.46846875    137.5  
30.4362   9.5113125     135    
30.5733   9.55415625    132    
30.7104   9.597         129    
30.8475   9.63984375    127    
30.9846   9.6826875     125    
31.1217   9.72553125    123.5  
31.2588   9.768375      122.5  
31.3959   9.81121875    121.5  
31.533    9.8540625     121.5  
31.6701   9.89690625    120.5  
31.8072   9.93975       120    
31.9443   9.98259375    119    
32.0814   10.0254375    118.5  
32.2185   10.06828125   116.5  
32.3556   10.111125     114.5  
32.4927   10.15396875   113.5  
32.6298   10.1968125    111.5  
32.7669   10.23965625   109.5  
32.904    10.2825       107    
33.0411   10.32534375   105.5  
33.1782   10.3681875    104.5  
33.3153   10.41103125   103.5  
33.4524   10.453875     102.5  
33.5895   10.49671875   101    
33.7266   10.5395625    100.5  
33.8637   10.58240625   100    
34.0008   10.62525      98     
34.1379   10.66809375   97.5   
34.275    10.7109375    96     
34.4121   10.75378125   95.5   
34.5492   10.796625     95.5   
